,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,43.45,83,82,6.04,NZ,1595624400
1,Tautira,-17.7333,-149.15,76.5,74,16,16.58,PF,1595624400
2,Pevek,69.7008,170.3133,45.59,71,89,7.61,RU,1595624400
3,Vryheid,-27.7695,30.7917,48.25,90,19,6.55,ZA,1595624400
4,Ribeira Grande,38.5167,-28.7,72.0,67,10,7.56,PT,1595624400
5,Clovis,36.8252,-119.7029,95.27,27,10,3.27,US,1595624400
6,Clyde River,70.4692,-68.5914,49.35,72,62,4.79,CA,1595624400
7,Korla,41.7597,86.1469,81.09,49,0,9.26,CN,1595624400
8,Hobart,-42.8794,147.3294,42.87,77,69,5.3,AU,1595624400
9,Kapaa,22.0752,-159.319,79.5,75,89,13.24,US,1595624400
10,Rikitea,-23.1203,-134.9692,68.45,57,8,12.33,PF,1595624400
11,Husavik,66.0449,-17.3389,45.14,78,59,9.4,IS,1595624400
12,Hermanus,-34.4187,19.2345,60.01,75,0,1.95,ZA,1595624400
13,Port Alfred,-33.5906,26.891,67.59,37,0,8.55,ZA,1595624400
14,São Félix do Xingu,-6.6447,-51.995,90.3,37,67,1.7,BR,1595624400
15,Nanortalik,60.1432,-45.2371,45.82,92,100,9.1,GL,1595624400
16,Chicama,-7.8447,-79.1469,70.77,61,52,10.54,PE,1595624400
17,Broken Hill,-31.95,141.4333,51.04,85,71,9.22,AU,1595624400
18,Rincon,32.296,-81.2354,92.01,67,72,9.64,US,1595624400
19,Cidreira,-30.1811,-50.2056,67.3,72,100,2.39,BR,1595624400
20,Vientiane,17.9667,102.6,80.53,83,19,3.13,LA,1595624400
21,Byron Bay,-28.65,153.6167,62.22,89,73,8.16,AU,1595624400
22,Pitimbu,-7.4706,-34.8086,79.48,69,12,15.41,BR,1595624400
23,Ushuaia,-54.8,-68.3,33.12,94,92,7.29,AR,1595624400
24,Inuvik,68.3499,-133.7218,69.4,46,74,7.94,CA,1595624400
25,Cherskiy,68.75,161.3,69.17,64,3,0.76,RU,1595624400
26,Zabid,14.1951,43.3152,89.35,55,100,10.07,YE,1595624400
27,Kodinsk,58.6881,99.1844,48.88,91,25,3.27,RU,1595624400
28,Birao,10.2849,22.7882,76.17,78,41,5.79,CF,1595624400
29,Huarmey,-10.0681,-78.1522,67.69,68,68,14.47,PE,1595624400
30,Kushiro,42.975,144.3747,60.12,90,100,5.48,JP,1595624400
31,Half Moon Bay,37.4636,-122.4286,63.45,80,82,9.82,US,1595624400
32,Carnarvon,-24.8667,113.6333,66.13,54,0,10.94,AU,1595624400
33,New Norfolk,-42.7826,147.0587,40.41,86,100,2.84,AU,1595624400
34,Lebu,-37.6167,-73.65,49.89,74,97,10.09,CL,1595624400
35,East London,-33.0153,27.9116,65.8,41,0,7.0,ZA,1595624400
36,Roald,62.5833,6.1333,55.67,71,10,13.82,NO,1595624400
37,Punta Arenas,-53.15,-70.9167,38.62,79,49,14.79,CL,1595624400
38,Daru,-9.0763,143.2092,76.93,86,91,15.23,PG,1595624400
39,City of San Pedro,14.35,121.0167,80.78,78,100,1.23,PH,1595624400
40,Chegdomyn,51.1167,133.0167,61.29,79,18,1.95,RU,1595624400
41,Sochi,43.6,39.7303,74.43,74,43,4.92,RU,1595624400
42,Ohafia,5.6167,7.8333,72.72,97,100,3.53,NG,1595624400
43,Syracuse,37.0881,15.2792,82.17,54,0,4.74,IT,1595624400
44,Hurghada,27.2574,33.8129,90.66,27,0,11.39,EG,1595624400
45,Mahébourg,-20.4081,57.7,68.36,60,65,22.08,MU,1595624400
46,Ahipara,-35.1667,173.1667,53.28,72,58,8.57,NZ,1595624400
47,Bluff,-46.6,168.3333,50.02,80,96,17.56,NZ,1595624400
48,Khowst,33.3833,69.8833,81.03,53,8,2.06,AF,1595624400
49,Maţāy,28.419,30.7792,86.83,22,0,12.1,EG,1595624400
50,Palauig,15.435,119.9045,81.99,72,91,5.48,PH,1595624400
51,Vaini,-21.2,-175.2,73.35,91,76,22.59,TO,1595624400
52,Qaanaaq,77.484,-69.3632,49.35,51,0,2.82,GL,1595624400
53,Aklavik,68.2191,-135.0107,67.93,48,87,5.91,CA,1595624400
54,Lavrentiya,65.5833,-171.0,47.68,73,93,4.9,RU,1595624400
55,Bikin,46.8161,134.26,62.78,93,10,1.57,RU,1595624400
56,Ponta Delgada,37.7333,-25.6667,70.88,67,53,3.71,PT,1595624400
57,Severo-Kuril'sk,50.6789,156.125,50.22,87,96,7.63,RU,1595624400
58,Bredasdorp,-34.5322,20.0403,53.19,74,0,1.23,ZA,1595624400
59,Deesa,24.25,72.1667,86.92,69,69,6.29,IN,1595624400
60,Hithadhoo,-0.6,73.0833,82.85,72,100,6.04,MV,1595624400
61,Yelkhovka,53.8667,50.2832,63.5,65,58,5.97,RU,1595624400
62,Longyearbyen,78.2186,15.6401,55.49,77,14,6.4,SJ,1595624400
63,Kavieng,-2.5744,150.7967,83.43,76,36,15.41,PG,1595624400
64,Baiyin,36.5583,104.2081,66.94,82,95,4.81,CN,1595624400
65,Krasnosel'kup,65.7,82.4667,55.6,69,95,10.04,RU,1595624400
66,Saint-Philippe,-21.3585,55.7679,64.47,64,75,15.46,RE,1595624400
67,Busselton,-33.65,115.3333,55.9,73,46,15.03,AU,1595624400
68,Nizip,37.0097,37.7942,84.36,49,0,7.16,TR,1595624400
69,Virginia Beach,36.8529,-75.978,84.88,69,87,9.13,US,1595624400
70,Rumuruti,0.267,36.5389,61.63,85,95,2.19,KE,1595624400
71,Nikolskoye,59.7035,30.7861,57.81,73,69,5.79,RU,1595624400
